"items""support"
"{Ведение переговоров,Деловое общение}"0.0271095838106147
"{Деловое общение,Поиск и привлечение клиентов}"0.0202367315769378
"{Деловая переписка,Деловое общение}"0.0263459335624284
"{B2B Продажи,Ведение переговоров,Заключение договоров}"0.0217640320733104
"{B2B Продажи,Активные продажи,Заключение договоров}"0.0202367315769378
"{B2B Продажи,Заключение договоров,Поиск и привлечение клиентов}"0.0206185567010309
"{Ведение переговоров,Заключение договоров,Телефонные переговоры}"0.0229095074455899
"{Заключение договоров,Поиск и привлечение клиентов,Телефонные переговоры}"0.0210003818251241
"{Ведение переговоров,Заключение договоров,Поиск и привлечение клиентов}"0.0236731576937763
"{Активные продажи,Заключение договоров,Поиск и привлечение клиентов}"0.0232913325696831
"{Ведение переговоров,Заключение договоров,Навыки продаж}"0.0213822069492173
"{Активные продажи,Ведение переговоров,Заключение договоров}"0.0217640320733104
"{Ведение переговоров,Заключение договоров}"0.0324551355479191
"{Активные продажи,Заключение договоров}"0.0267277586865216
"{Заключение договоров,Навыки продаж}"0.0263459335624284
"{Заключение договоров,Поиск и привлечение клиентов}"0.0290187094310806
"{Заключение договоров,Телефонные переговоры}"0.0274914089347079
"{Деловая переписка,Заключение договоров}"0.0210003818251241
"{B2B Продажи,Заключение договоров}"0.0259641084383352
"{Заключение договоров,Проведение презентаций}"0.0232913325696831
"{MySQL,PHP,ООП}"0.0244368079419626
"{Javascript,ООП}"0.0305460099274532
"{Git,ООП}"0.0378006872852234
"{PHP,ООП}"0.0336006109201986
"{MySQL,ООП}"0.0294005345551737
"{Git,Java}"0.0221458571974036
"{Ведение переговоров,Поиск и привлечение клиентов,Проведение презентаций}"0.0244368079419626
"{Активные продажи,Поиск и привлечение клиентов,Проведение презентаций}"0.0229095074455899
"{Активные продажи,Ведение переговоров,Проведение презентаций}"0.0229095074455899
"{Ведение переговоров,Проведение презентаций}"0.0351279114165712
"{Проведение презентаций,Работа в команде}"0.0202367315769378
"{Активные продажи,Проведение презентаций}"0.0290187094310806
"{Навыки продаж,Проведение презентаций}"0.0255822833142421
"{Поиск и привлечение клиентов,Проведение презентаций}"0.0309278350515464
"{Проведение презентаций,Телефонные переговоры}"0.0236731576937763
"{Деловая переписка,Проведение презентаций}"0.0217640320733104
"{B2B Продажи,Проведение презентаций}"0.0236731576937763
"{B2B Продажи,Активные продажи,Поиск и привлечение клиентов,Телефонные переговоры}"0.0210003818251241
"{B2B Продажи,Ведение переговоров,Телефонные переговоры}"0.0225276823214968
"{B2B Продажи,Активные продажи,Телефонные переговоры}"0.0244368079419626
"{B2B Продажи,Навыки продаж,Телефонные переговоры}"0.0213822069492173
"{B2B Продажи,Поиск и привлечение клиентов,Телефонные переговоры}"0.0240549828178694
"{B2B Продажи,Активные продажи,Ведение переговоров,Поиск и привлечение клиентов}"0.0202367315769378
"{B2B Продажи,Ведение переговоров,Поиск и привлечение клиентов}"0.0240549828178694
"{B2B Продажи,Активные продажи,Поиск и привлечение клиентов}"0.0278732340588011
"{B2B Продажи,Навыки продаж,Поиск и привлечение клиентов}"0.0229095074455899
"{B2B Продажи,Ведение переговоров,Навыки продаж}"0.0221458571974036
"{B2B Продажи,Активные продажи,Навыки продаж}"0.0225276823214968
"{B2B Продажи,Активные продажи,Ведение переговоров}"0.0255822833142421
"{B2B Продажи,Ведение переговоров}"0.037037037037037
"{B2B Продажи,Активные продажи}"0.037037037037037
"{B2B Продажи,Навыки продаж}"0.0294005345551737
"{B2B Продажи,Поиск и привлечение клиентов}"0.0339824360442917
"{B2B Продажи,Телефонные переговоры}"0.0305460099274532
"{B2B Продажи,Деловая переписка}"0.0221458571974036
"{Ведение переговоров,Деловая переписка,Телефонные переговоры}"0.0206185567010309
"{Ведение переговоров,Деловая переписка,Работа в команде}"0.0202367315769378
"{Ведение переговоров,Деловая переписка}"0.0355097365406644
"{Деловая переписка,Работа в команде}"0.0252004581901489
"{Активные продажи,Деловая переписка}"0.0232913325696831
"{Деловая переписка,Навыки продаж}"0.0213822069492173
"{Деловая переписка,Поиск и привлечение клиентов}"0.0248186330660557
"{Деловая переписка,Телефонные переговоры}"0.0267277586865216
"{Ведение переговоров,Поиск и привлечение клиентов,Телефонные переговоры}"0.0232913325696831
"{Активные продажи,Поиск и привлечение клиентов,Телефонные переговоры}"0.0252004581901489
"{Ведение переговоров,Навыки продаж,Телефонные переговоры}"0.0221458571974036
"{Активные продажи,Навыки продаж,Телефонные переговоры}"0.0206185567010309
"{Активные продажи,Ведение переговоров,Телефонные переговоры}"0.0229095074455899
"{Ведение переговоров,Телефонные переговоры}"0.039327987781596
"{Активные продажи,Телефонные переговоры}"0.0320733104238259
"{Навыки продаж,Телефонные переговоры}"0.0297823596792669
"{Поиск и привлечение клиентов,Телефонные переговоры}"0.0332187857961054
"{Ведение переговоров,Навыки продаж,Поиск и привлечение клиентов}"0.0229095074455899
"{Активные продажи,Навыки продаж,Поиск и привлечение клиентов}"0.0244368079419626
"{Активные продажи,Ведение переговоров,Поиск и привлечение клиентов}"0.0324551355479191
"{Ведение переговоров,Поиск и привлечение клиентов}"0.0450553646429935
"{Поиск и привлечение клиентов,Работа в команде}"0.0232913325696831
"{Активные продажи,Поиск и привлечение клиентов}"0.0427644138984345
"{Навыки продаж,Поиск и привлечение клиентов}"0.0316914852997327
"{Javascript,JQuery,MySQL}"0.0236731576937763
"{JQuery,MySQL,PHP}"0.0217640320733104
"{Javascript,MySQL,PHP}"0.0427644138984345
"{Git,MySQL,PHP}"0.0309278350515464
"{HTML,MySQL,PHP}"0.0244368079419626
"{HTML,Javascript,MySQL}"0.0221458571974036
"{Git,Javascript,MySQL}"0.0202367315769378
"{Javascript,MySQL}"0.0546009927453226
"{Git,MySQL}"0.0400916380297824
"{HTML,MySQL}"0.0282550591828942
"{CSS,MySQL}"0.0232913325696831
"{MySQL,PHP}"0.0736922489499809
"{JQuery,MySQL}"0.0297823596792669
"{Javascript,JQuery,PHP}"0.0271095838106147
"{HTML,JQuery,PHP}"0.0225276823214968
"{CSS,JQuery,PHP}"0.0210003818251241
"{CSS,HTML,Javascript,JQuery}"0.0343642611683849
"{CSS,Javascript,JQuery}"0.0389461626575029
"{CSS,HTML,JQuery}"0.0431462390225277
"{HTML,Javascript,JQuery}"0.0412371134020619
"{Git,Javascript,JQuery}"0.0248186330660557
"{Javascript,JQuery}"0.0675830469644903
"{Git,JQuery}"0.0301641848033601
"{HTML,JQuery}"0.050782741504391
"{CSS,JQuery}"0.0492554410080183
"{JQuery,PHP}"0.0339824360442917
"{Активные продажи,Ведение переговоров,Навыки продаж}"0.0248186330660557
"{Активные продажи,Навыки продаж,Работа в команде}"0.0274914089347079
"{Ведение переговоров,Навыки продаж}"0.037037037037037
"{Навыки продаж,Работа в команде}"0.0343642611683849
"{Активные продажи,Навыки продаж}"0.0477281405116457
"{CSS,HTML,Javascript,PHP}"0.0240549828178694
"{CSS,Javascript,PHP}"0.0278732340588011
"{CSS,HTML,PHP}"0.0290187094310806
"{HTML,Javascript,PHP}"0.0316914852997327
"{Git,Javascript,PHP}"0.0236731576937763
"{Javascript,PHP}"0.0633829705994654
"{Git,PHP}"0.0435280641466208
"{HTML,PHP}"0.0389461626575029
"{CSS,PHP}"0.0336006109201986
"{CSS,Git,HTML,Javascript}"0.0217640320733104
"{CSS,HTML,Javascript}"0.0614738449789996
"{CSS,Git,HTML}"0.0236731576937763
"{CSS,Git,Javascript}"0.0248186330660557
"{CSS,Javascript}"0.0714012982054219
"{CSS,Git}"0.0274914089347079
"{CSS,HTML}"0.0847651775486827
"{Активные продажи,Ведение переговоров}"0.0500190912562047
"{Активные продажи,Работа в команде}"0.0374188621611302
"{Ведение переговоров,Работа в команде}"0.0336006109201986
"{Git,HTML,Javascript}"0.0255822833142421
"{HTML,Javascript}"0.0798014509354716
"{Git,HTML}"0.0294005345551737
"{Git,Javascript}"0.0660557464681176
"{Javascript}"0.195494463535701
"{Git}"0.138220694921726
"{Ведение переговоров}"0.099274532264223
"{HTML}"0.116456662848415
"{Работа в команде}"0.0893470790378007
"{Активные продажи}"0.0862924780450554
"{CSS}"0.0977472317678503
"{PHP}"0.114929362352043
"{Навыки продаж}"0.0729285987017946
"{JQuery}"0.0859106529209622
"{MySQL}"0.106529209621993
"{Поиск и привлечение клиентов}"0.0645284459717449
"{Телефонные переговоры}"0.0565101183657885
"{Деловая переписка}"0.0504009163802978
"{B2B Продажи}"0.0565101183657885
"{Управление проектами}"0.0694921725849561
"{Проведение презентаций}"0.0477281405116457
"{Java}"0.099274532264223
"{ООП}"0.0759831996945399
"{Заключение договоров}"0.0408552882779687
"{Деловое общение}"0.039327987781596
"{Прямые продажи}"0.0404734631538755
"{Развитие продаж}"0.0408552882779687
"{Грамотная речь}"0.041618938526155
"{Linux}"0.0706376479572356
"{HTML5}"0.0534555173730431
"{Холодные продажи}"0.0420007636502482
"{SQL}"0.0637647957235586
"{Деловая коммуникация}"0.0297823596792669
"{PostgreSQL}"0.0591828942344406
"{Ajax}"0.0408552882779687
"{Организаторские навыки}"0.0316914852997327
"{Навыки презентации}"0.0286368843069874
"{Python}"0.0618556701030928
"{Английский язык}"0.0488736158839252
"{Управление продажами}"0.0309278350515464
"{CSS3}"0.0400916380297824
"{Пользователь ПК}"0.0358915616647575
"{Холодные звонки}"0.0290187094310806
"{C#}"0.050782741504391
"{Планирование продаж}"0.0232913325696831
"{Adobe Photoshop}"0.0301641848033601
"{PHP5}"0.0240549828178694
"{Интернет-реклама}"0.0217640320733104
"{Node.js}"0.0343642611683849
"{C++}"0.0446735395189003
"{Internet Marketing}"0.0217640320733104
"{XML}"0.0232913325696831
"{AngularJS}"0.0232913325696831
"{MS SQL}"0.0202367315769378
"{Angular.js}"0.0278732340588011
"{MongoDB}"0.0202367315769378
"{React.js}"0.0213822069492173
"{Ответственность}"0.0240549828178694
"{Разработка под iOS}"0.0217640320733104
